Ref,Val,Package,PosX,PosY,Rot,Side
"TH1","Thermistor","R_0201_0603Metric",143.200000,-126.750000,0.000000,bottom
"C1","0.1uF","C_0402_1005Metric",124.520000,-131.000000,180.000000,top
"C2","0.1uF","C_0402_1005Metric",123.250000,-127.520000,-90.000000,top
"C4","1uF","C_0402_1005Metric",181.450000,-141.955000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",179.900000,-123.855000,90.000000,top
"C6","22uF","C_0603_1608Metric",181.150000,-123.225000,90.000000,top
"C13","0.1uF","C_0402_1005Metric",118.245000,-151.900000,0.000000,top
"C14","0.1uF","C_0402_1005Metric",168.320000,-151.850000,0.000000,top
"C15","1uF","C_0402_1005Metric",129.180000,-149.000000,180.000000,top
"C16","47nF","C_0402_1005Metric",127.700000,-145.020000,-90.000000,top
"C17","22uF","C_0603_1608Metric",122.000000,-127.975000,-90.000000,top
"C18","22uF","C_0603_1608Metric",123.975000,-132.250000,180.000000,top
"C19","4.7uF","C_0402_1005Metric",127.280000,-146.500000,180.000000,top
"C20","10uF","C_0603_1608Metric",134.400000,-141.675000,90.000000,top
"C21","10uF","C_0603_1608Metric",132.075000,-140.900000,0.000000,top
"C22","10uF","C_0603_1608Metric",132.075000,-142.400000,0.000000,top
"C23","0.1uF","C_0402_1005Metric",161.800000,-131.400000,90.000000,top
"C26","0.1uF","C_0402_1005Metric",161.800000,-128.800000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",135.880000,-156.925000,0.000000,top
"J2","Micro_SD_Card_Det_Hirose_DM3AT","microSD_HC_Hirose_DM3AT-SF-PEJM5",153.020000,-150.535000,0.000000,top
"L4","2.2uH","L_6.3x6.3_H3",126.600000,-138.900000,90.000000,top
"Q1","AO3401A","SOT-23",127.787500,-133.350000,0.000000,top
"R3","10K","R_0402_1005Metric",182.650000,-141.950000,90.000000,top
"R4","100","R_0402_1005Metric",140.250000,-131.000000,90.000000,top
"R5","10K","R_0402_1005Metric",155.845000,-140.570000,-90.000000,top
"R6","10K","R_0402_1005Metric",154.745000,-140.570000,-90.000000,top
"R7","10K","R_0402_1005Metric",153.520000,-140.570000,-90.000000,top
"R8","10K","R_0402_1005Metric",151.395000,-140.455000,-90.000000,top
"R9","10K","R_0402_1005Metric",149.295000,-140.420000,-90.000000,top
"R10","10K","R_0402_1005Metric",148.170000,-140.405000,-90.000000,top
"R11","5.1K","R_0402_1005Metric",134.580000,-151.060000,90.000000,top
"R12","5.1K","R_0402_1005Metric",137.655000,-151.060000,90.000000,top
"R13","5.2K","R_0402_1005Metric",135.700000,-143.810000,-90.000000,top
"R14","30.1K","R_0402_1005Metric",136.800000,-143.810000,90.000000,top
"R15","5.1K","R_0402_1005Metric",128.400000,-151.990000,-90.000000,top
"R16","10K","R_0402_1005Metric",172.300000,-123.900000,-90.000000,top
"R17","10K","R_0402_1005Metric",171.300000,-123.900000,-90.000000,top
"R18","10K","R_0402_1005Metric",134.710000,-147.100000,180.000000,top
"R19","260","R_0402_1005Metric",135.090000,-145.500000,0.000000,top
"R21","10K","R_0402_1005Metric",135.700000,-141.310000,90.000000,top
"R22","5.5K","R_0402_1005Metric",136.800000,-141.300000,-90.000000,top
"R25","27","R_0402_1005Metric",166.690000,-132.750000,180.000000,top
"R26","27","R_0402_1005Metric",166.680000,-133.750000,0.000000,top
"R27","100","R_0402_1005Metric",139.750000,-135.500000,0.000000,top
"SW1","Reset","SW_Push_SPST_NO_Alps_SKRK",168.200000,-149.550000,0.000000,top
"SW2","Boot","SW_Push_SPST_NO_Alps_SKRK",118.200000,-149.550000,0.000000,top
"U1","BQ25895RTW","Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias",131.050000,-145.837500,90.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",128.200000,-126.900000,0.000000,top
"U6","ESP32-S3-MINI-1","ESP32-S2-MINI-1",178.150000,-132.850000,-90.000000,top
